,logreg_penl1_mi100,logreg_penl1_mi150,logreg_penl1_mi200,logreg_penl2_mi100,logreg_penl2_mi150,logreg_penl2_mi200
Accuracy,0.7700355615111065,0.7700355615111065,0.7700355615111065,0.7679740246353657,0.7679740246353657,0.7679740246353657
Precision,0.7460869565217392,0.7460869565217392,0.7460869565217392,0.7412809972152234,0.7412809972152234,0.7412809972152234
Recall,0.6850509765385088,0.6850509765385088,0.6850509765385088,0.6866478319616754,0.6866478319616754,0.6866478319616754
F1,0.7142674180327869,0.7142674180327869,0.7142674180327869,0.7129192705012117,0.7129192705012117,0.7129192705012117
