,xgb_md10_n200_lr0.1_l0,xgb_md10_n200_lr0.1_l1,xgb_md10_n200_lr0.4_l0,xgb_md10_n200_lr0.4_l1,xgb_md10_n300_lr0.1_l0,xgb_md10_n300_lr0.1_l1,xgb_md10_n300_lr0.4_l0,xgb_md10_n300_lr0.4_l1
Accuracy,0.841665807648696,0.8421812184310896,0.8418204308834141,0.8443974847953819,0.8445005669518606,0.8448613544995361,0.8425935470570044,0.8435212864653129
Precision,0.856463467358409,0.8587349833550442,0.8305288461538461,0.8398586188145731,0.8526508742244783,0.8556013062615363,0.8287644020659515,0.8342949147994096
Recall,0.7411148522259633,0.739867813941888,0.7755331088664422,0.7704202519017334,0.7540840503803466,0.7514652699837885,0.780396558174336,0.7754084050380347
F1,0.7946249498596069,0.7948821007502681,0.8020893789901334,0.8036422764227642,0.8003441201773542,0.8001593413889257,0.8038535645472061,0.8037745604963805
