,xgb_md3_n100_lr0.05_l0,xgb_md3_n100_lr0.05_l1,xgb_md3_n100_lr0.1_l0,xgb_md3_n100_lr0.1_l1,xgb_md3_n100_lr0.4_l0,xgb_md3_n100_lr0.4_l1,xgb_md3_n200_lr0.05_l0,xgb_md3_n200_lr0.05_l1,xgb_md3_n200_lr0.1_l0,xgb_md3_n200_lr0.1_l1,xgb_md3_n200_lr0.4_l0,xgb_md3_n200_lr0.4_l1,xgb_md3_n300_lr0.05_l0,xgb_md3_n300_lr0.05_l1,xgb_md3_n300_lr0.1_l0,xgb_md3_n300_lr0.1_l1,xgb_md3_n300_lr0.4_l0,xgb_md3_n300_lr0.4_l1,xgb_md5_n100_lr0.05_l0,xgb_md5_n100_lr0.05_l1,xgb_md5_n100_lr0.1_l0,xgb_md5_n100_lr0.1_l1,xgb_md5_n100_lr0.4_l0,xgb_md5_n100_lr0.4_l1,xgb_md5_n200_lr0.05_l0,xgb_md5_n200_lr0.05_l1,xgb_md5_n200_lr0.1_l0,xgb_md5_n200_lr0.1_l1,xgb_md5_n200_lr0.4_l0,xgb_md5_n200_lr0.4_l1,xgb_md5_n300_lr0.05_l0,xgb_md5_n300_lr0.05_l1,xgb_md5_n300_lr0.1_l0,xgb_md5_n300_lr0.1_l1,xgb_md5_n300_lr0.4_l0,xgb_md5_n300_lr0.4_l1,xgb_md10_n100_lr0.05_l0,xgb_md10_n100_lr0.05_l1,xgb_md10_n100_lr0.1_l0,xgb_md10_n100_lr0.1_l1,xgb_md10_n100_lr0.4_l0,xgb_md10_n100_lr0.4_l1,xgb_md10_n200_lr0.05_l0,xgb_md10_n200_lr0.05_l1,xgb_md10_n200_lr0.1_l0,xgb_md10_n200_lr0.1_l1,xgb_md10_n200_lr0.4_l0,xgb_md10_n200_lr0.4_l1,xgb_md10_n300_lr0.05_l0,xgb_md10_n300_lr0.05_l1,xgb_md10_n300_lr0.1_l0,xgb_md10_n300_lr0.1_l1,xgb_md10_n300_lr0.4_l0,xgb_md10_n300_lr0.4_l1
Accuracy,0.7764263258259032,0.7764263258259032,0.7836932433128898,0.7837963201566768,0.7873524712673298,0.788950162346029,0.7839509354223574,0.7837963201566768,0.78560016492295,0.7850847807040149,0.7873009328454362,0.7893109312992836,0.7842601659537185,0.7840540122661445,0.7871463175797557,0.7868370870483946,0.7898778539401123,0.7893109312992836,0.7845178580631861,0.7844147812193991,0.786682471782714,0.7873524712673298,0.7933824666288718,0.7924032366128949,0.7873524712673298,0.7865793949389269,0.7911147760655569,0.7919909292377467,0.7954440035046126,0.7945163119105293,0.7902901613152605,0.7910116992217698,0.7917847755501727,0.7932793897850848,0.7955470803483997,0.7962170798330155,0.7918363139720662,0.7906509302685152,0.7952893882389321,0.7964232335205896,0.794980157707571,0.7944647734886358,0.7974024635365665,0.7939493892697006,0.7965778487862701,0.7960109261454414,0.793588620316446,0.7946709271762099,0.7959593877235479,0.7965778487862701,0.796165541411122,0.7966293872081637,0.7938463124259135,0.7942586198010617
Precision,0.7740308401787,0.7740308401787,0.798155427880254,0.7985774818401937,0.797716150081566,0.8113265620190828,0.7987592676653049,0.7986678776869512,0.8053382420616659,0.8035468582785507,0.7975978647686833,0.8116254036598493,0.7980406932931424,0.7974702605029363,0.8087759815242495,0.8014451302122535,0.8118477593615715,0.8116254036598493,0.7997275204359673,0.799939375568354,0.7959183673469388,0.7997610870539047,0.8052600472813238,0.8065285437472053,0.7985130111524164,0.7961208172934557,0.8110164333536214,0.8112206216830933,0.8042590431738623,0.8062518431141257,0.8106499847421422,0.8125764993880049,0.8118631178707224,0.8120278029616198,0.8027270089933275,0.8055758283462269,0.8074962518740629,0.8066456172004209,0.8036416605972323,0.8071229664370512,0.8016229531951891,0.80046302995225,0.8075686732904734,0.8006967629554362,0.8036490008688097,0.8025459279618111,0.7970410801493824,0.79979806721477,0.8039244186046511,0.8050625545533896,0.8021073903002309,0.8017551431448713,0.7975283805144417,0.7984462667242124
Recall,0.6597469598329444,0.6597469598329444,0.6484461368382263,0.6482004667731237,0.6607296400933547,0.6475862916103673,0.6484461368382263,0.6480776317405724,0.6448839208942391,0.6456209310895468,0.6607296400933547,0.648323301805675,0.6504114973590468,0.6505343323915981,0.6452524259918929,0.653973713303034,0.6497973221962904,0.648323301805675,0.6489374769684314,0.648323301805675,0.6610981451910085,0.657904434344675,0.6694509274044957,0.6646603611349957,0.6596241248003931,0.6604839700282521,0.6547107234983417,0.6571674241493674,0.677312369487778,0.6716619579904188,0.6526225279449699,0.6523768578798673,0.655693403758752,0.6601154649305983,0.6797690701388036,0.6779265446505344,0.6615894853212136,0.6590099496376367,0.6776808745854318,0.676452524259919,0.679523400073701,0.679523400073701,0.6789092249109446,0.6775580395528805,0.6817344306596241,0.6814887605945216,0.6816115956270729,0.6811202554968677,0.6794005650411498,0.6797690701388036,0.6825942758874831,0.6845596364083036,0.6817344306596241,0.6817344306596241
F1,0.7123342175066312,0.7123342175066312,0.7155540494747544,0.7155739372160824,0.7227895726955118,0.7202677778536786,0.7157966101694916,0.7155353631247034,0.7162346521145977,0.7159787494891704,0.7227410144440712,0.7208413001912045,0.7167027612344342,0.7165471519415506,0.7178190762503417,0.7202380952380952,0.7218393941461417,0.7208413001912045,0.716484708754323,0.7161951285704593,0.7222706837549486,0.7219301792694433,0.7311020189147494,0.7287542087542088,0.7224539217005248,0.7219872440416247,0.7245293278053421,0.7261129207383279,0.7353470694138828,0.7328285197346378,0.7231030962912555,0.7237173809361587,0.7254688774123402,0.7282336201639678,0.7361489857000333,0.7362593383137676,0.7272972790493553,0.7253921038399134,0.7353058776489405,0.7360331462175889,0.7355404866374153,0.7350518203560988,0.7376710043376711,0.7339986693280106,0.7376885757958396,0.7370798458881361,0.7348208965106271,0.7357038609526337,0.7364356567472204,0.737129537129537,0.737540646360077,0.7385369732308508,0.7350993377483444,0.7354890007951232
