,rf_n=200_cgini_mss5,rf_n=200_centropy_mss5,rf_n=300_cgini_mss5,rf_n=300_centropy_mss5
Accuracy,0.8394578158016801,0.8404370458176571,0.8400762768644024,0.8416739679431016
Precision,0.8411620961172956,0.8407402404430636,0.8415130151843818,0.8421763196975833
Recall,0.7610858616877534,0.7645252425991893,0.7624370470458175,0.7662449330549073
F1,0.7991229767201908,0.8008234688625836,0.8000257781787716,0.8024183174684846
